id|nct_id|name|downcase_name
293630605|NCT02538120|Diabetes Mellitus Type 1|diabetes mellitus type 1
293630611|NCT00659282|Diabetes|diabetes
293630612|NCT00659282|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294036749|NCT06748430|Healthy|healthy
294036750|NCT06748430|Glycaemic Response Measurements|glycaemic response measurements
294036756|NCT06751823|Type 2 Diabetes|type 2 diabetes
294036852|NCT06822621|Hypercholesterolemia|hypercholesterolemia
294036853|NCT06822621|Overweight/Obesity|overweight/obesity
294036946|NCT06680635|Obesity Adult Onset|obesity adult onset
294036947|NCT06680635|Diabetes Mellitus Type 2|diabetes mellitus type 2
293630659|NCT00037271|Cardiovascular Diseases|cardiovascular diseases
293630660|NCT00037271|Heart Diseases|heart diseases
293630661|NCT00037271|Obesity|obesity
293630683|NCT01131052|Diabetes|diabetes
293630684|NCT01131052|Hyperglycemia|hyperglycemia
293630696|NCT01883024|Type 1 Diabetes|type 1 diabetes
293630700|NCT01659450|Body Weight Decreased|body weight decreased
294037052|NCT01921075|Lipid Metabolism|lipid metabolism
294037056|NCT06037252|Type 2 Diabetes|type 2 diabetes
294037057|NCT06037252|Obesity|obesity
294037083|NCT06032988|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294037102|NCT05739162|Obesity|obesity
294037103|NCT05739162|Ulcerative Colitis|ulcerative colitis
294037104|NCT01316107|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293428629|NCT02816099|diabète de Type 1|diabète de type 1
294037127|NCT04194450|Ketosis|ketosis
294037128|NCT04194450|Type 2 Diabetes|type 2 diabetes
294037137|NCT03130244|Type 2 Diabetes|type 2 diabetes
294037138|NCT03130244|Obesity|obesity
294037280|NCT06608433|Healthy Volunteer Study|healthy volunteer study
294037281|NCT06608433|HPA|hpa
294037282|NCT06608433|Cortisol Deficiency|cortisol deficiency
294037283|NCT06608433|Adrenal Insufficiency|adrenal insufficiency
294037286|NCT06598345|Type 1 Diabetes Mellitis|type 1 diabetes mellitis
294037295|NCT06841497|Diabetes Mellitus|diabetes mellitus
294037296|NCT06841497|Type 2 DM|type 2 dm
294037327|NCT04984421|Pediatric Obesity|pediatric obesity
294037328|NCT04984421|Overnutrition, Child|overnutrition, child
294037329|NCT04984421|Prediabetic State|prediabetic state
294037330|NCT04984421|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294037331|NCT04984421|Overweight, Childhood|overweight, childhood
294037379|NCT06692153|Type 2 Diabetes|type 2 diabetes
294037380|NCT06692153|Type 2 Diabetes Mellitus (T2DM)|type 2 diabetes mellitus (t2dm)
294037381|NCT06692153|Type 2 DM|type 2 dm
294037382|NCT06692153|T2DM With Inadequate Glycemic Control|t2dm with inadequate glycemic control
294037383|NCT06692153|T2DM (Type 2 Diabetes Mellitus)|t2dm (type 2 diabetes mellitus)
294037384|NCT06692153|T2D|t2d
294037385|NCT06692153|T2DM|t2dm
293630818|NCT03377660|Esophageal Cancer|esophageal cancer
293630819|NCT03377660|Weight Gain|weight gain
293630820|NCT03377660|Eating Behavior|eating behavior
293630821|NCT03377660|Food Reward|food reward
293661720|NCT01425359|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
294037411|NCT04271189|Newly Diagnosed Type 2 Diabetes|newly diagnosed type 2 diabetes
293630896|NCT02982330|Type2 Diabetes|type2 diabetes
293630977|NCT04881760|Obesity|obesity
293630978|NCT04881760|Overweight|overweight
294037433|NCT06699810|Ketosis Prone Diabetes|ketosis prone diabetes
293428649|NCT01408095|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294037502|NCT06880432|Obesity and Overweight|obesity and overweight
293428651|NCT00344851|Polycystic Ovary Syndrome|polycystic ovary syndrome
294037598|NCT07039357|Diabetes Mellitus|diabetes mellitus
294037599|NCT07039357|Healthy|healthy
293631117|NCT00542178|Diabetic Retinopathy|diabetic retinopathy
293428712|NCT03844789|Type 1 Diabetes Mellitus|type 1 diabetes mellitus
293428742|NCT03407118|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293428751|NCT04660305|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293428844|NCT01635062|Type 2 Diabetes|type 2 diabetes
293428845|NCT01635062|Obesity|obesity
293428851|NCT05387174|Obesity, Abdominal|obesity, abdominal
293428852|NCT05387174|Hypertension|hypertension
293428853|NCT05387174|Quality of Life|quality of life
293428854|NCT05387174|Menopause|menopause
293428889|NCT00926016|Chronic Hepatitis C|chronic hepatitis c
293428914|NCT01950676|Diabetes Mellitus|diabetes mellitus
293428927|NCT02130778|Sodium Excretion by Urination|sodium excretion by urination
293428928|NCT02040311|Obesity|obesity
293631157|NCT01031888|Corneal Epithelial Defects After Ocular Surgeries|corneal epithelial defects after ocular surgeries
293428963|NCT04072549|Obesity|obesity
293631209|NCT00241072|Hypertension|hypertension
293631210|NCT00241072|Impaired Glucose Tolerance|impaired glucose tolerance
293429040|NCT02405949|Case-control Study|case-control study
293429042|NCT01649466|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293631233|NCT02676648|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293429059|NCT04014855|Obesity, Childhood|obesity, childhood
293429068|NCT01232491|Diabetes|diabetes
293429069|NCT01232491|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294037706|NCT06727409|Patients With Type 2 Diabetes|patients with type 2 diabetes
294037707|NCT06725693|GLP1-R-related Disease|glp1-r-related disease
294037708|NCT06725693|Tumor|tumor
294037709|NCT06725693|Insulinoma|insulinoma
294037710|NCT06725693|Positron Emission Tomography|positron emission tomography
293429104|NCT07211802|Type 1 Diabetes (T1D)|type 1 diabetes (t1d)
294037775|NCT06737042|Obesity and Overweight|obesity and overweight
293631321|NCT00468091|Digestive Physiology|digestive physiology
293631322|NCT00468091|Gastrointestinal Motility|gastrointestinal motility
293631323|NCT00468091|Gastrointestinal Hormones|gastrointestinal hormones
293631324|NCT00468091|Glucagon-like Peptide 1|glucagon-like peptide 1
293631325|NCT00468091|Exendin (9-39)|exendin (9-39)
294037844|NCT06741943|Type 1 Diabetes Mellitus|type 1 diabetes mellitus
294037845|NCT06741943|Insulin Pump|insulin pump
294037846|NCT06741943|Time in Range|time in range
293631447|NCT01847092|Chronic Kidney Disease|chronic kidney disease
293631448|NCT01847092|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293429147|NCT04260048|Obesity, Childhood|obesity, childhood
293429177|NCT00044421|Diabetic Neuropathies|diabetic neuropathies
293429178|NCT00044421|Diabetes Mellitus|diabetes mellitus
293429194|NCT03572166|Diabetes Insipidus|diabetes insipidus
293429195|NCT03572166|Polydipsia, Primary|polydipsia, primary
293631470|NCT00459940|Growth Hormone Deficiency|growth hormone deficiency
293429237|NCT06486961|Obesity|obesity
293429238|NCT06486961|Sedentary Behavior|sedentary behavior
293429316|NCT03065595|Malnutrition|malnutrition
293429352|NCT03745157|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293429368|NCT01646047|Diabetes Mellitus - Type 1|diabetes mellitus - type 1
293429369|NCT01646047|Diabetes Mellitus - Type 2|diabetes mellitus - type 2
293429370|NCT01646047|Non-proliferative Diabetic Retinopathy|non-proliferative diabetic retinopathy
293429430|NCT03195153|Diabetes Mellitus Type 2 Platelets Reactivity Statin|diabetes mellitus type 2 platelets reactivity statin
293429497|NCT02733315|Diabetes|diabetes
293429616|NCT03544996|Hypoinsulinemia|hypoinsulinemia
293429634|NCT04570540|Obesity Hypoventilation Syndrome (OHS)|obesity hypoventilation syndrome (ohs)
293429644|NCT00846521|Pediatric Obesity|pediatric obesity
293429645|NCT00846521|Insulin Resistance|insulin resistance
293429646|NCT00846521|Impaired Glucose Tolerance|impaired glucose tolerance
293429647|NCT00846521|Cardiovascular Disease|cardiovascular disease
293429652|NCT00257218|Diabetes Mellitus|diabetes mellitus
293429717|NCT01340768|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293429792|NCT01094418|Impaired Glucose Tolerance|impaired glucose tolerance
293429793|NCT01094418|Peripheral Polyneuropathy|peripheral polyneuropathy
293429794|NCT01094418|DM|dm
293429820|NCT00700817|Diabetes|diabetes
293429821|NCT00700817|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293429862|NCT01440439|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293429865|NCT06125119|Type 2 Diabetes|type 2 diabetes
293429887|NCT02591576|Effect of Diabetes on Long Term Excess Mortality Following Acute Myocardial Infarction|effect of diabetes on long term excess mortality following acute myocardial infarction
293429961|NCT07213323|Obesity &Amp; Overweight|obesity &amp; overweight
293429962|NCT07213323|Digestive Disorders|digestive disorders
293429987|NCT06330194|Dialysis|dialysis
293429988|NCT06330194|Chronic Kidney Disease|chronic kidney disease
293429989|NCT06330194|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293429990|NCT06330194|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293429991|NCT06330194|Hemodialysis|hemodialysis
293429992|NCT06330194|Peritoneal Dialysis|peritoneal dialysis
293429997|NCT01030341|Diabetic Gastroparesis|diabetic gastroparesis
293429998|NCT02715934|Diabetes Mellitus|diabetes mellitus
293430062|NCT00754403|Diabetes Mellitus|diabetes mellitus
293430125|NCT02148861|Diabetes|diabetes
293430126|NCT02148861|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293430131|NCT04556851|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293430175|NCT03790579|Diabetes, Gestational|diabetes, gestational
293430176|NCT03790579|Dietary Habits|dietary habits
293430196|NCT01345435|Type 2 Diabetes|type 2 diabetes
293430199|NCT03880760|Type 1 Diabetes Mellitus|type 1 diabetes mellitus
293430217|NCT04327713|Type2 Diabetes|type2 diabetes
293430218|NCT04327713|Heart Failure|heart failure
293430219|NCT04327713|Myocardial Infarction|myocardial infarction
293430220|NCT04327713|Stroke|stroke
293430221|NCT04327713|Arrhythmia|arrhythmia
293430222|NCT04327713|Cardiovascular Diseases|cardiovascular diseases
293430226|NCT03899311|Obesity, Childhood|obesity, childhood
293430263|NCT00950963|Type 1 Diabetes|type 1 diabetes
293430264|NCT00950963|Type 2 Diabetes|type 2 diabetes
293631590|NCT00185094|Hypertension|hypertension
293631591|NCT00185094|Insulin Resistance|insulin resistance
293631592|NCT00185094|Metabolic Syndrome|metabolic syndrome
293631639|NCT06543875|Obesity|obesity
293631640|NCT06543875|Overweight|overweight
293631641|NCT00039013|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293631650|NCT01855386|Gestational Diabetes Mellitus in Pregnancy|gestational diabetes mellitus in pregnancy
293631677|NCT03017443|Overweight and Obesity|overweight and obesity
293631678|NCT03017443|Weight Loss|weight loss
293430403|NCT03908762|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293430404|NCT03908762|Diabetic Complication|diabetic complication
293430452|NCT01074489|Diabetes, Gestational|diabetes, gestational
293430455|NCT03713775|Atrial Fibrillation|atrial fibrillation
293430456|NCT03713775|Overweight and Obesity|overweight and obesity
293631686|NCT02750930|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293430527|NCT04207879|Overweight or Obesity|overweight or obesity
294037952|NCT04262128|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
294037953|NCT04262128|Healthy|healthy
294037993|NCT05266417|Parkinson Disease|parkinson disease
294038017|NCT05470504|Insulin Receptor Mutation|insulin receptor mutation
294038018|NCT05470504|Partial Lipodystrophy|partial lipodystrophy
293430530|NCT05020314|Pediatric Obesity|pediatric obesity
294038037|NCT03311516|Type1diabetes|type1diabetes
293430535|NCT06976372|Overweight|overweight
293430536|NCT06976372|Obesity|obesity
293430567|NCT00988689|Obesity Prevention|obesity prevention
293430568|NCT00988689|Diabetes Prevention|diabetes prevention
293430584|NCT01365117|Healthy Volunteers|healthy volunteers
294038110|NCT07256613|Type 2 Diabetes Mellitus MeSH:D003924|type 2 diabetes mellitus mesh:d003924
294038111|NCT07256613|Periodontitis MeSH:D010518|periodontitis mesh:d010518
294038112|NCT07256613|Diabetic Nephropathies MeSH:D003928|diabetic nephropathies mesh:d003928
294038114|NCT07255807|Metabolic Health|metabolic health
294038115|NCT07255807|Insulin Sensitivity/Resistance|insulin sensitivity/resistance
293430600|NCT04224727|Smoking Cessation|smoking cessation
293430601|NCT04224727|Weight Loss|weight loss
293430623|NCT00985712|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293430637|NCT01634282|Diabetes, Type 2|diabetes, type 2
293430648|NCT06031987|Gestational Diabetes Mellitus in Pregnancy|gestational diabetes mellitus in pregnancy
293430695|NCT01519102|Type-1 Diabetes|type-1 diabetes
293430740|NCT04131049|Insulin-Dependent Diabetes Mellitus 1|insulin-dependent diabetes mellitus 1
293430769|NCT03458637|Adolescent Obesity|adolescent obesity
293430770|NCT03458637|Lifestyle Intervention|lifestyle intervention
293430778|NCT04915014|Severe Obesity|severe obesity
293430818|NCT05703347|Insufficient Sleep|insufficient sleep
293430819|NCT05703347|Obesity|obesity
293430843|NCT06959901|Obesity and Diabetes Mellitus, Type 2|obesity and diabetes mellitus, type 2
293430844|NCT06959901|Diabetes Prevention|diabetes prevention
293430856|NCT01461226|Obesity|obesity
293430857|NCT01461226|Atherosclerosis|atherosclerosis
293430871|NCT00793780|Obesity|obesity
293430872|NCT00793780|Schizophrenia|schizophrenia
293430873|NCT00793780|Schizoaffective Disorder|schizoaffective disorder
293430940|NCT03617757|Progression From Impaired Fasting Glucose to Diabetes Mellitus|progression from impaired fasting glucose to diabetes mellitus
293430969|NCT02899949|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293430970|NCT00792935|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293431011|NCT06063759|Diabetes Mellitus|diabetes mellitus
293431014|NCT00394524|Diabetes or With New Hyperglycemia|diabetes or with new hyperglycemia
293431042|NCT02920918|Heart Failure, Systolic|heart failure, systolic
293431043|NCT02920918|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293431094|NCT03309007|PreDiabetes|prediabetes
293431095|NCT03309007|Aging|aging
293431110|NCT03426566|Diabetes Complications|diabetes complications
293431113|NCT00467636|Chronic Obstructive Pulmonary Disease|chronic obstructive pulmonary disease
293431114|NCT00467636|Hyperglycemia|hyperglycemia
293431139|NCT02998970|Diabetes|diabetes
293431140|NCT02998970|Cardiovascular Disease|cardiovascular disease
294038177|NCT04861636|Adolescent Obesity|adolescent obesity
294038178|NCT04861636|Weight Loss|weight loss
293431166|NCT03559621|Gestational Diabetes|gestational diabetes
294038193|NCT06996743|Menopausal|menopausal
294038194|NCT06996743|Obese Patients|obese patients
294038195|NCT06996743|Pilates Exercise|pilates exercise
294038196|NCT06996743|Quality of Life and Menopause|quality of life and menopause
293431167|NCT03559621|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293431168|NCT03559621|Glucose Intolerance|glucose intolerance
293431169|NCT03559621|Healthy Lifestyle|healthy lifestyle
293431270|NCT02093221|Type 1 Diabetes Mellitus|type 1 diabetes mellitus
293431399|NCT00940797|Diabetes Type 2|diabetes type 2
293431430|NCT00892788|Overweight|overweight
293431431|NCT00892788|Obesity|obesity
293631788|NCT00469833|Diabetes|diabetes
293631789|NCT00469833|Hyperglycemia|hyperglycemia
293431476|NCT02072551|Diabetes|diabetes
294038224|NCT02637609|Type II Diabetes|type ii diabetes
293431500|NCT01642199|Obesity|obesity
293431511|NCT03090997|Postmenopausal|postmenopausal
293431512|NCT03090997|Insulin Resistance|insulin resistance
293431581|NCT00375492|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293431597|NCT07212179|Type 1 Diabetes|type 1 diabetes
293431651|NCT00742066|Hypertension|hypertension
293431652|NCT00742066|Insulin Resistance|insulin resistance
293431653|NCT00742066|Microcirculation|microcirculation
293431673|NCT06209411|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293631807|NCT01484457|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293431674|NCT06209411|Gestational Diabetes|gestational diabetes
293431675|NCT04283201|Impaired Fasting Glucose|impaired fasting glucose
293431676|NCT04283201|Impaired Glucose Tolerance|impaired glucose tolerance
293431677|NCT04283201|Type 2 Diabetes|type 2 diabetes
293631812|NCT00608049|Overweight|overweight
293631813|NCT00608049|Cardiovascular Diseases|cardiovascular diseases
293431762|NCT00012649|Diabetes|diabetes
293431763|NCT06348706|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293431764|NCT06348706|NASH|nash
293631835|NCT05993741|Diabetes Mellitus Type 2 With Periodontal Disease|diabetes mellitus type 2 with periodontal disease
293631862|NCT05293340|Dietary Habits|dietary habits
293631863|NCT05293340|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293431906|NCT03638778|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293431949|NCT00706511|Obstructive Sleep Apnea (OSA)|obstructive sleep apnea (osa)
293431983|NCT01020955|Diabetes|diabetes
293432004|NCT02053935|Hyperglycemia|hyperglycemia
293432005|NCT02053935|Sepsis|sepsis
293432102|NCT02664233|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293432103|NCT02664233|Obesity|obesity
293432107|NCT02890836|Pregnancy in Diabetics|pregnancy in diabetics
294038401|NCT06874907|Gestational Diabetes Mellitus in Pregnancy|gestational diabetes mellitus in pregnancy
294038499|NCT06883318|Type 1 Diabetes Mellitus (T1DM)|type 1 diabetes mellitus (t1dm)
294038500|NCT06883318|End-Stage Renal Disease|end-stage renal disease
294038520|NCT06719076|HbA1c|hba1c
293432120|NCT00737763|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293631927|NCT06645418|Type II Diabetes Mellitus|type ii diabetes mellitus
293631946|NCT03914430|Blood Glucose|blood glucose
293631947|NCT03914430|Eating|eating
293631948|NCT03914430|Food|food
293631950|NCT01536028|Diabetes|diabetes
293631951|NCT01536028|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293432132|NCT00715221|Diabetes|diabetes
293432140|NCT01073137|Diabetes|diabetes
293432142|NCT05173675|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293432143|NCT05173675|Diabetes|diabetes
293432144|NCT05173675|Mental Health|mental health
293432145|NCT05173675|Health Behavior|health behavior
293432259|NCT00069836|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293432270|NCT01640873|Type 2 Diabetes|type 2 diabetes
293432296|NCT01687582|Type 2 Diabetes|type 2 diabetes
293432297|NCT01687582|Psoriasis|psoriasis
293432316|NCT06041841|POMC Deficiency Obesity|pomc deficiency obesity
293432317|NCT06041841|PCSK1 Deficiency Obesity|pcsk1 deficiency obesity
293432318|NCT06041841|LEPR Deficiency Obesity|lepr deficiency obesity
293432325|NCT04683237|Atypical Endometrial Hyperplasia|atypical endometrial hyperplasia
293432326|NCT04683237|Obese|obese
293432327|NCT04683237|Fertility Issues|fertility issues
293432395|NCT00548158|Type 2 Diabetes|type 2 diabetes
293432559|NCT06316648|Elective Hip Fracture Surgery|elective hip fracture surgery
293432569|NCT01400802|Bioequivalence in Healthy Subjects|bioequivalence in healthy subjects
293432614|NCT03919877|Pre Diabetes|pre diabetes
293432615|NCT03919877|Insulin Resistance|insulin resistance
293432616|NCT03919877|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293432690|NCT06489457|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293432691|NCT06489457|Obesity|obesity
293432692|NCT06489457|Functional Hypogonadism|functional hypogonadism
293432702|NCT02161250|Hyperglycemia, Diabetes, and Obesity|hyperglycemia, diabetes, and obesity
293432709|NCT05464043|Diabetes Mellitus Risk|diabetes mellitus risk
293432712|NCT02514850|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293432714|NCT02064114|Atrial Fibrillation|atrial fibrillation
293432715|NCT02064114|Obesity|obesity
293432716|NCT02064114|Sleep Apnea|sleep apnea
294038876|NCT01028963|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
294038903|NCT06738810|Non-alcoholic Steato-hepatitis|non-alcoholic steato-hepatitis
294039140|NCT00570466|Type 2 Diabetes|type 2 diabetes
293432835|NCT03533738|Diabetes Mellitus|diabetes mellitus
293432836|NCT03533738|Obesity|obesity
293432849|NCT01206101|Diabetes|diabetes
293432850|NCT01206101|Diabetes Mellitus, Type 1|diabetes mellitus, type 1
293432863|NCT02882685|Morbid Obesity|morbid obesity
293432868|NCT00138554|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293631978|NCT01302327|Diabetes Mellitus Associated With Genetic Syndrome|diabetes mellitus associated with genetic syndrome
293631979|NCT01302327|Wolfram Syndrome|wolfram syndrome
293631998|NCT01781884|Type 1 Diabetes|type 1 diabetes
293632030|NCT01369043|Exercise and Non-exercise Effect Upon Vitamins E and C|exercise and non-exercise effect upon vitamins e and c
293432949|NCT05535985|Acupuncture|acupuncture
293432950|NCT05535985|Postoperative Delirium (POD)|postoperative delirium (pod)
293432951|NCT05535985|Diabetes Mellitus|diabetes mellitus
294039269|NCT05811078|13-18 Year|13-18 year
294039270|NCT05811078|Diagnosed at Least 6 Months Ago|diagnosed at least 6 months ago
294039271|NCT05811078|HbA1C> 7.5|hba1c> 7.5
294039272|NCT05811078|Being Able to Read and Write|being able to read and write
294039440|NCT06303544|Child Obesity|child obesity
294039489|NCT01242215|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293661730|NCT01331343|Type 1 Diabetes Mellitus|type 1 diabetes mellitus
294039557|NCT06738979|Obesity|obesity
293433067|NCT05406115|Obesity|obesity
293433182|NCT02114476|Diabetes Mellitus|diabetes mellitus
293433183|NCT02114476|Metabolic Syndrome|metabolic syndrome
294039851|NCT06869421|Awareness|awareness
293433215|NCT00975286|Type 2 Diabetes Mellitus|type 2 diabetes mellitus
293433224|NCT03528473|Breast Neoplasms|breast neoplasms
293433225|NCT03528473|Exercise|exercise
293433226|NCT03528473|Exercise Therapy|exercise therapy
293632142|NCT02714660|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
293433227|NCT03528473|Insulin Resistance|insulin resistance
293433228|NCT03528473|Oxidative Stress|oxidative stress
293433229|NCT03528473|Microcirculation|microcirculation
293433230|NCT03528473|Quality of Life|quality of life
293433231|NCT03528473|Atherosclerosis|atherosclerosis
293433256|NCT03329079|Weight Loss|weight loss
294039995|NCT07255326|Diabetic Retinopathy|diabetic retinopathy
294039996|NCT07255326|Type 1 Diabetes|type 1 diabetes
294039997|NCT07255326|Omega 3 Fatty Acids|omega 3 fatty acids
294040070|NCT04098575|Diabetes Mellitus, Type 2|diabetes mellitus, type 2
